id,name,country,type
1,Florian Mueller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Tarazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,Englisch,1
8,Enzo Millot,Frankreich,1
28,Nicolas Nartey,Daenemark,1
14,Silas Katompa Mvumpa,Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Phillip Förster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Engloff,Deutschland,1
34,Ömer Beyaz,Türkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Führich,Deutschland,1
9,Sasa Kalajdzic,Österreich,1
18,Tiago Tomás,Portugal,1
17,Omar Marmoush,Ägypten,1
19,Wahid Faghir,Daenemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankho,Niederlande,1
Mainz,Mainz 05,Deutschland,2
Nuernberg,FC Nuernberg,Deutschland,2
Stuttgart_II,Stuttgart II,Deutschland,2
Arsenal,FC Arsenal,England,2
Hannover,Hannover 96,Deutschland,2
Iwata,Jubilio Iwata,Japan,2
Zagreb,Dinamo Zagreb,Kroatien,2
Freiburg,SC Freiburg,Deutschland,2
Hamburg,Hamburger SV,Deutschland,2
Truiden,VV St. Truiden,Belgien,2
Kiel,Holstein Kiel,Deutschland,2
Juventus,Juventus U23,Italien,2
Chelsea,Chelsea U23,England,2
Monaco,AS Monaco,Frankreich,2
Sanhausen,SV Sandhausen,Deutschland,2
Paris,Paris FC,Frankreich,2
Bielefeld,Arm. Bielefeld,Deutschland,2
Düsseldorf,F. Düsseldorf,Deutschland,2
Instituto,Instituto AC,Argentinien,2
Stuttgart_U19,Stuttgart U19,Deutschland,2
Fenerbahce,Fenerbahce,Tuerkei,2
Wolfsburg,VFL Wolfsburg,Deutschland,2
Paris,Paris SG U19,Frankreich,2
Paderborn,SC Paderborn,Deutschland,2
Wacker,Admira Wacker,Oesterreich,2
Sporting,Sporting,Portugal,2
Vejle,Vejle BK,Oesterreich,2
Deutschland,,,
Usbekistan,,,
Japan,,,
England,,,
Kongo,,,
Frankreich,,,
Elfenbeinkueste,,,
Martinique,,,
Oesterreich,,,
Serbien,,,
Benin,,,
Aegypten,,,
Kanada,,,
Portugal,,,
Daenemark,,,
Afghanistan,,,
Belgien,,,
Kroatien,,,
Ghana,,,
Italien,,,
Argentinien,,,
Komoren,,,
Tuerkei,,,
Niederlande,,,
Sierra_Leone,,,
Kamerun,,,
